Model Name,Model Training Features
AdaBoost_model_2023-04-20_16-01-24.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
XGBoost_model_2023-04-20_16-01-24.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
Random Forest_model_2023-05-20_11-11-03.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
AdaBoost_model_2023-05-20_11-11-03.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
XGBoost_model_2023-05-20_11-11-03.pkl,"Volume,Top Band.4,Point of Control.4,Line,Point of Control,Bottom Band.5,Top Band.5,Middle Band,Bottom Band.4,Point of Control.2,Top Band.1,Middle Band.5,MACD Diff,HLC Avg,Top Band.3,Ask Volume,Top Band,Bottom Band.3,Bid Volume,Middle Band.3,Middle Band.4,Middle Band.6,MACD,Point of Control.1,Close,HL Avg,Point of Control.6,Bottom Band.1,Bottom Band,Point of Control.5,Point of Control.3,MA of MACD,Bottom Band.2,Middle Band.2,Middle Band.1,Top Band.2,Top Band.6,Bottom Band.6,# of Trades,Open,High,Low"
Random Forest_model_2023-05-24_11-37-42.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
AdaBoost_model_2023-05-24_11-37-42.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
XGBoost_model_2023-05-24_11-37-42.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
Random Forest_model_2023-05-24_11-59-26.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
AdaBoost_model_2023-05-24_11-59-26.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
XGBoost_model_2023-05-24_11-59-26.pkl,"Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume,ATR,RSI,AD,AROON_DOWN,AROON_UP,ADX,STOCH_K,STOCH_D,MACD,MACD_SIGNAL,HAMMER,INVERTED_HAMMER,ENGULFING"
